batsman,bowler,wicket
BJ Hodge,R Vinay Kumar,2
SR Tendulkar,UT Yadav,2
RV Uthappa,P Awana,2
MS Dhoni,JP Faulkner,2
GJ Maxwell,YS Chahal,2
AB de Villiers,Sandeep Sharma,2
KM Jadhav,MM Sharma,2
SS Tiwary,AB Dinda,2
Yuvraj Singh,JD Unadkat,2
B Kumar,RP Singh,2
UBT Chand,P Kumar,2
KA Pollard,R Bhatia,2
A Mishra,JP Faulkner,2
DJG Sammy,JP Faulkner,2
KA Pollard,R Vinay Kumar,2
MS Dhoni,L Balaji,2
BB McCullum,MM Sharma,2
CH Gayle,SR Watson,2
MC Henriques,SR Watson,2
SV Samson,R Rampaul,2
Mandeep Singh,MM Sharma,2
AM Nayar,M Kartik,2
SR Watson,SP Narine,2
