bowler,batsman,runs 
Harbhajan Singh,EJG Morgan,15
I Sharma,STR Binny,15
RP Singh,KA Pollard,15
DS Kulkarni,P Kumar,15
A Nehra,B Lee,15
JD Unadkat,Azhar Mahmood,15
K Rabada,LMP Simmons,15
Mohammed Shami,LMP Simmons,15
KK Cooper,MR Marsh,15
SP Narine,MG Johnson,15
AB Dinda,DR Smith,15
PP Chawla,NLTC Perera,15
DJG Sammy,LA Pomersbach,15
MM Sharma,UBT Chand,15
JP Faulkner,NLTC Perera,15
SL Malinga,M Vohra,15
DS Kulkarni,HM Amla,15
PJ Sangwan,GJ Maxwell,15
AR Patel,Ishan Kishan,15
Iqbal Abdulla,DJG Sammy,15
DW Steyn,SV Samson,15
R Dhawan,BB McCullum,15
MJ McClenaghan,MC Henriques,15
SL Malinga,MC Henriques,15
KV Sharma,Q de Kock,15
Kuldeep Yadav,WP Saha,15
Swapnil Singh,CA Lynn,15
MA Starc,KK Nair,15
R Dhawan,YK Pathan,15
L Balaji,VR Aaron,15
SR Watson,SA Yadav,15
JP Faulkner,Shakib Al Hasan,15
RA Jadeja,Shakib Al Hasan,15
L Balaji,AP Tare,15
A Mishra,AJ Finch,15
VR Aaron,NV Ojha,15
PV Tambe,NV Ojha,15
MA Starc,WP Saha,15
S Badree,LMP Simmons,15
I Sharma,LMP Simmons,15
PV Tambe,DR Smith,15
Imran Tahir,AM Rahane,15
WD Parnell,M Vohra,15
JP Faulkner,M Vohra,15
YS Chahal,F du Plessis,15
UT Yadav,JO Holder,15
SL Malinga,SA Yadav,15
Kuldeep Yadav,AT Rayudu,15
TA Boult,KA Pollard,15
J Suchith,GJ Bailey,15
AD Russell,GJ Bailey,15
AN Ahmed,HH Pandya,15
NM Coulter-Nile,RG Sharma,15
TA Boult,PA Patel,15
VR Aaron,MA Agarwal,15
MC Henriques,GJ Bailey,15
TG Southee,AT Rayudu,15
Anureet Singh,KL Rahul,15
R Ashwin,SS Iyer,15
P Negi,SS Iyer,15
MJ McClenaghan,RV Uthappa,15
SP Narine,KH Pandya,15
S Aravind,DR Smith,15
KJ Abbott,SPD Smith,15
TG Southee,GJ Maxwell,15
KH Pandya,SE Marsh,15
AB Dinda,DJ Bravo,15
CR Brathwaite,SA Yadav,15
T Shamsi,DA Warner,15
UT Yadav,Sachin Baby,15
J Yadav,UT Khawaja,15
S Nadeem,MP Stoinis,15
KC Cariappa,KA Pollard,15
DR Smith,N Rana,15
Mustafizur Rahman,YK Pathan,15
Shahid Afridi,S Dhawan,15
D Kalyankrishna,GC Smith,15
VR Aaron,AB de Villiers,15
MS Gony,BB McCullum,15
SB Bangar,DJ Bravo,15
Mohammad Asif,JH Kallis,15
DL Chahar,SW Billings,15
BA Stokes,SV Samson,15
SB Bangar,MS Gony,15
PJ Sangwan,SP Fleming,15
DJ Hooda,N Rana,15
BCJ Cutting,KH Pandya,15
STR Binny,Yuvraj Singh,14
AB Dinda,KA Pollard,14
JH Kallis,SA Asnodkar,14
Y Venugopal Rao,AM Nayar,14
DW Steyn,KD Karthik,14
VS Yeligati,SE Marsh,14
PP Chawla,DR Smith,14
JA Morkel,MV Boucher,14
VRV Singh,AC Gilchrist,14
MF Maharoof,ST Jayasuriya,14
YS Chahal,N Rana,14
A Kumble,SB Bangar,14
I Sharma,KC Sangakkara,14
S Sreesanth,Salman Butt,14
SK Trivedi,MK Pandey,14
M Ntini,HH Gibbs,14
SR Watson,TM Dilshan,14
M Muralitharan,SE Marsh,14
T Thushara,ST Jayasuriya,14
RR Raje,ML Hayden,14
SK Raina,MK Tiwary,14
Imran Tahir,DR Smith,14
DW Steyn,A Flintoff,14
CH Gayle,Yuvraj Singh,14
JD Ryder,AC Gilchrist,14
MS Gony,MK Tiwary,14
JA Morkel,MK Tiwary,14
PP Chawla,LRPL Taylor,14
R Vinay Kumar,M Manhas,14
MM Patel,IK Pathan,14
RR Powar,GC Smith,14
TA Boult,S Dhawan,14
TA Boult,DA Warner,14
CR Woakes,Yuvraj Singh,14
TA Boult,Bipul Sharma,14
TA Boult,NV Ojha,14
SC Ganguly,ST Jayasuriya,14
LR Shukla,SR Tendulkar,14
BJ Hodge,Harbhajan Singh,14
Pankaj Singh,BJ Hodge,14
KP Appanna,MN van Wyk,14
A Nehra,DR Smith,14
SK Warne,S Badrinath,14
JDP Oram,SA Asnodkar,14
SM Harwood,TL Suman,14
Sandeep Sharma,CH Morris,14
S Nadeem,M Vohra,14
YA Abdulla,BJ Hodge,14
D du Preez,ST Jayasuriya,14
SB Jakati,RJ Harris,14
IK Pathan,LA Carseldine,14
JH Kallis,NV Ojha,14
JA Morkel,SM Katich,14
SB Jakati,SM Katich,14
MJ McClenaghan,KD Karthik,14
Basil Thampi,N Rana,14
RP Singh,S Sohal,14
MC Henriques,KD Karthik,14
JH Kallis,DJ Hussey,14
I Sharma,JD Ryder,14
SL Malinga,S Sohal,14
WPUJC Vaas,DA Warner,14
MM Patel,DJ Bravo,14
P Negi,SPD Smith,14
JD Unadkat,STR Binny,14
S Sreesanth,TM Dilshan,14
PJ Sangwan,Yuvraj Singh,14
SK Raina,JP Duminy,14
DS Kulkarni,SK Raina,14
A Symonds,SC Ganguly,14
RG Sharma,SC Ganguly,14
BJ Hodge,AC Gilchrist,14
RJ Harris,Yuvraj Singh,14
Y Nagar,LRPL Taylor,14
MM Patel,BB McCullum,14
RA Jadeja,LR Shukla,14
RP Singh,RE van der Merwe,14
RE van der Merwe,A Symonds,14
YK Pathan,SS Tiwary,14
JH Kallis,CA Pujara,14
PP Ojha,JM Kemp,14
I Sharma,S Badrinath,14
S Ladda,SR Tendulkar,14
DW Steyn,NV Ojha,14
R Vinay Kumar,M Morkel,14
JM Kemp,V Sehwag,14
JA Morkel,M Manhas,14
Bipul Sharma,A Symonds,14
SK Warne,CA Pujara,14
RR Powar,ML Hayden,14
SJ Srivastava,PA Patel,14
DR Smith,CH Gayle,14
P Negi,AJ Finch,14
A Symonds,FY Fazal,14
UT Yadav,P Kumar,14
SW Tait,SK Raina,14
SW Tait,JA Morkel,14
A Mishra,Mandeep Singh,14
J Yadav,KS Williamson,14
Z Khan,KS Williamson,14
Yuvraj Singh,SS Iyer,14
MC Henriques,SS Iyer,14
Z Khan,PP Chawla,14
S Ladda,YK Pathan,14
PP Chawla,KP Pietersen,14
A Mithun,G Gambhir,14
JH Kallis,PD Collingwood,14
SB Jakati,SS Tiwary,14
SK Raina,AT Rayudu,14
PD Collingwood,SC Ganguly,14
AB Dinda,V Sehwag,14
Iqbal Abdulla,V Sehwag,14
Basil Thampi,SP Narine,14
SK Raina,LR Shukla,14
DE Bollinger,G Gambhir,14
R Sharma,DPMD Jayawardene,14
CRD Fernando,R Vinay Kumar,14
JD Unadkat,YK Pathan,14
AB Dinda,AJ Finch,14
MJ McClenaghan,SV Samson,14
SL Malinga,KP Pietersen,14
JH Kallis,S Anirudha,14
KA Pollard,NV Ojha,14
AJ Finch,SR Tendulkar,14
WD Parnell,R McLaren,14
JP Duminy,MK Tiwary,14
DT Christian,MK Tiwary,14
JD Unadkat,DA Warner,14
Washington Sundar,S Dhawan,14
Rashid Khan,SPD Smith,14
A Mithun,SR Tendulkar,14
AC Thomas,PA Patel,14
R Bhatia,AL Menaria,14
RV Gomez,AT Rayudu,14
JJ van der Wath,M Vijay,14
V Kohli,MEK Hussey,14
JA Morkel,AUK Pathan,14
Y Venugopal Rao,JD Ryder,14
SB Wagh,V Sehwag,14
Yuvraj Singh,AJ Finch,14
IK Pathan,S Sohal,14
M Morkel,CL White,14
WD Parnell,AT Rayudu,14
B Lee,RA Jadeja,14
S Aravind,V Sehwag,14
M Morkel,CA Pujara,14
IK Pathan,CA Pujara,14
MR Marsh,M Vijay,14
JE Taylor,SK Raina,14
MM Patel,SR Watson,14
SL Malinga,J Botha,14
AC Thomas,AB de Villiers,14
JE Taylor,SS Tiwary,14
A Mithun,JD Ryder,14
IK Pathan,M Klinger,14
DJ Hussey,EJG Morgan,14
MJ McClenaghan,RA Tripathi,14
AC Thomas,LRPL Taylor,14
L Balaji,S Sohal,14
AB Agarkar,B Chipli,14
A Mithun,P Kumar,14
CR Woakes,RA Tripathi,14
Kuldeep Yadav,SPD Smith,14
CR Woakes,DT Christian,14
A Singh,MEK Hussey,14
B Kumar,S Dhawan,14
SK Trivedi,CH Gayle,14
R Ashwin,Y Venugopal Rao,14
SJ Srivastava,DPMD Jayawardene,14
RA Jadeja,DJ Hussey,14
VR Aaron,PC Valthaty,14
PC Valthaty,Y Venugopal Rao,14
RA Jadeja,AL Menaria,14
ND Doshi,BJ Hodge,14
DW Steyn,MR Marsh,14
PC Valthaty,AB de Villiers,14
JP Duminy,KD Karthik,14
T Natarajan,MK Tiwary,14
Sandeep Sharma,DT Christian,14
AN Ahmed,JH Kallis,14
JEC Franklin,RN ten Doeschate,14
Shakib Al Hasan,SR Tendulkar,14
SL Malinga,Shakib Al Hasan,14
JA Morkel,JEC Franklin,14
M de Lange,AJ Finch,14
AB Dinda,SL Malinga,14
AR Patel,S Dhawan,14
A Nehra,MJ Guptill,14
J Botha,AC Gilchrist,14
KK Cooper,P Kumar,14
DT Christian,DJ Bravo,14
F du Plessis,Ankit Sharma,14
B Lee,OA Shah,14
R Sharma,DJ Hussey,14
MN Samuels,Bipul Sharma,14
PP Ojha,DT Christian,14
SB Jakati,DPMD Jayawardene,14
AA Chavan,RE Levi,14
KA Pollard,AL Menaria,14
RR Bhatkal,MS Dhoni,14
JH Kallis,PP Chawla,14
A Nehra,SS Tiwary,14
Harbhajan Singh,JP Faulkner,14
MJ McClenaghan,AJ Tye,14
TP Sudhindra,NV Ojha,14
STR Binny,MS Dhoni,14
M Morkel,SPD Smith,14
MM Patel,N Saini,14
MM Patel,Mandeep Singh,14
Z Khan,STR Binny,14
CJ McKay,Mandeep Singh,14
P Awana,JA Morkel,14
P Awana,DJ Bravo,14
WD Parnell,KC Sangakkara,14
AB McDonald,N Saini,14
CR Woakes,DA Warner,14
A Nehra,JEC Franklin,14
BW Hilfenhaus,DT Christian,14
B Kumar,DB Das,14
S Nadeem,JH Kallis,14
J Theron,SE Marsh,14
M Muralitharan,Harbhajan Singh,14
VR Aaron,MEK Hussey,14
JD Ryder,SR Watson,14
TP Sudhindra,Azhar Mahmood,14
BW Hilfenhaus,G Gambhir,14
AD Russell,SD Chitnis,14
R Vinay Kumar,A Ashish Reddy,14
GB Hogg,DR Smith,14
DS Kulkarni,DJ Bravo,14
Sunny Gupta,MS Dhoni,14
AD Russell,MS Dhoni,14
K Rabada,DA Warner,14
Rashid Khan,RR Pant,14
B Kumar,CJ Anderson,14
Shakib Al Hasan,M Vijay,14
AD Russell,YK Pathan,14
S Badree,UBT Chand,14
P Kumar,MR Marsh,14
MG Johnson,M Morkel,14
JD Unadkat,MK Tiwary,14
R Sharma,STR Binny,14
DP Nannes,AB de Villiers,14
KK Cooper,DJ Hussey,14
CH Morris,AJ Finch,14
L Balaji,MS Gony,14
P Awana,R Bhatia,14
K Rabada,SK Raina,14
PJ Cummins,KD Karthik,14
I Sharma,SPD Smith,14
R Dhawan,AM Rahane,14
KV Sharma,PP Chawla,14
SMSM Senanayake,RG Sharma,14
SK Trivedi,A Mishra,14
P Awana,DR Smith,14
R Ashwin,KW Richardson,14
S Nadeem,DB Das,14
UT Yadav,S Narwal,14
P Awana,CA Pujara,14
PJ Cummins,LMP Simmons,14
JP Faulkner,BJ Rohrer,14
Parvez Rasool,EJG Morgan,14
A Choudhary,CA Lynn,14
NLTC Perera,SV Samson,14
AB Dinda,CM Gautam,14
MM Sharma,AP Tare,14
SL Malinga,SV Samson,14
JP Faulkner,CA Pujara,14
STR Binny,DA Miller,14
TG Southee,DR Smith,14
IC Pandey,AM Rahane,14
RA Jadeja,CJ Anderson,14
Kuldeep Yadav,GJ Maxwell,14
Swapnil Singh,G Gambhir,14
KW Richardson,AB de Villiers,14
BW Hilfenhaus,KV Sharma,14
MG Johnson,AB de Villiers,14
SR Watson,Shakib Al Hasan,14
DS Kulkarni,Q de Kock,14
R Sharma,KK Nair,14
IC Pandey,Q de Kock,14
GJ Maxwell,RA Jadeja,14
VR Aaron,SPD Smith,14
MM Sharma,JP Faulkner,14
Shakib Al Hasan,LMP Simmons,14
MA Starc,BB McCullum,14
S Badree,V Kohli,14
Washington Sundar,KK Nair,14
BA Stokes,KK Nair,14
KK Cooper,LMP Simmons,14
KA Pollard,KK Nair,14
JP Duminy,V Sehwag,14
JP Duminy,DA Miller,14
Parvez Rasool,Yuvraj Singh,14
Imran Tahir,LMP Simmons,14
JJ Bumrah,KP Pietersen,14
Ankit Soni,V Shankar,14
JDS Neesham,M Vohra,14
TA Boult,DR Smith,14
AD Russell,KD Karthik,14
PV Tambe,SS Iyer,14
DJ Muthuswami,M Vijay,14
KV Sharma,JP Duminy,14
Imran Tahir,RS Bopara,14
MG Johnson,AD Russell,14
DJ Hooda,SK Raina,14
Bipul Sharma,AD Russell,14
MJ McClenaghan,JP Duminy,14
MJ McClenaghan,AD Mathews,14
AD Mathews,PA Patel,14
DJ Muthuswami,CH Gayle,14
A Nehra,RN ten Doeschate,14
DJ Bravo,SN Khan,14
I Sharma,JP Faulkner,14
JP Duminy,MC Henriques,14
HV Patel,LMP Simmons,14
BE Hendricks,DA Warner,14
HH Pandya,Shakib Al Hasan,14
DJ Bravo,AR Patel,14
AS Rajpoot,KH Pandya,14
AS Rajpoot,KA Pollard,14
JP Faulkner,MP Stoinis,14
Mustafizur Rahman,KM Jadhav,14
GB Hogg,JC Buttler,14
SP Narine,EJG Morgan,14
NLTC Perera,M Vohra,14
PV Tambe,CH Morris,14
SL Malinga,CA Lynn,14
P Amarnath,JR Hopes,14
P Amarnath,Yuvraj Singh,14
JO Holder,KK Nair,14
T Shamsi,MC Henriques,14
B Kumar,Sachin Baby,14
R Ashwin,SW Billings,14
CJ Jordan,JC Buttler,14
MP Stoinis,DA Warner,14
S Nadeem,KH Pandya,14
Z Khan,UT Khawaja,14
SB Jakati,STR Binny,14
IK Pathan,SR Watson,14
SB Joshi,GC Smith,14
B Stanlake,HM Amla,14
B Stanlake,GJ Maxwell,14
JDP Oram,LR Shukla,14
ST Jayasuriya,AC Gilchrist,14
V Sehwag,MS Dhoni,14
GD McGrath,S Vidyut,14
GD McGrath,MS Dhoni,14
SB Bangar,R Dravid,14
Gagandeep Singh,R Dravid,14
RP Singh,LR Shukla,14
SC Ganguly,A Mishra,14
D Salunkhe,SE Marsh,14
VRV Singh,M Rawat,14
GD McGrath,HH Gibbs,14
Mohammad Asif,SB Styris,14
MC Henriques,SR Watson,13
A Zampa,KA Pollard,13
JJ Bumrah,BA Stokes,13
CRD Fernando,Y Venugopal Rao,13
A Nehra,DB Ravi Teja,13
L Balaji,Salman Butt,13
PJ Sangwan,Misbah-ul-Haq,13
A Kumble,TM Dilshan,13
SR Watson,Salman Butt,13
YK Pathan,DB Das,13
SR Watson,WP Saha,13
CRD Fernando,LA Pomersbach,13
A Kumble,SK Raina,13
DP Vijaykumar,SE Marsh,13
SB Styris,KC Sangakkara,13
M Muralitharan,SA Asnodkar,13
Pankaj Singh,PA Patel,13
STR Binny,PA Patel,13
RP Singh,B Chipli,13
Z Khan,VVS Laxman,13
I Sharma,SE Marsh,13
Pankaj Singh,ST Jayasuriya,13
M Muralitharan,M Kaif,13
T Thushara,SR Tendulkar,13
DJ Bravo,A Flintoff,13
LH Ferguson,DR Smith,13
SN Thakur,BB McCullum,13
Imran Tahir,KD Karthik,13
CH Gayle,HH Gibbs,13
JA Morkel,KD Karthik,13
CH Gayle,RA Jadeja,13
Kamran Khan,SC Ganguly,13
VRV Singh,LRPL Taylor,13
A Kumble,KC Sangakkara,13
JD Ryder,Yuvraj Singh,13
DJ Bravo,HH Gibbs,13
DS Kulkarni,DR Smith,13
A Nehra,B Akhil,13
MM Patel,RS Bopara,13
VRV Singh,RA Jadeja,13
CR Woakes,BCJ Cutting,13
AM Nayar,BJ Hodge,13
CH Gayle,MV Boucher,13
Harbhajan Singh,K Goel,13
IK Pathan,Harbhajan Singh,13
RG Sharma,TM Dilshan,13
SK Raina,RA Jadeja,13
AB Dinda,Harbhajan Singh,13
M Kartik,AM Rahane,13
YA Abdulla,RV Uthappa,13
DR Smith,LA Carseldine,13
Shoaib Ahmed,YK Pathan,13
MM Sharma,SS Iyer,13
CJ Anderson,AR Patel,13
RR Powar,CH Gayle,13
Yuvraj Singh,BJ Hodge,13
SB Jakati,TL Suman,13
SK Trivedi,IK Pathan,13
DP Nannes,MN van Wyk,13
RG Sharma,Harbhajan Singh,13
JH Kallis,YK Pathan,13
DP Nannes,AM Rahane,13
Basil Thampi,KA Pollard,13
WA Mota,Y Venugopal Rao,13
RE van der Merwe,AM Rahane,13
YK Pathan,DR Smith,13
DJ Bravo,S Sohal,13
B Lee,DJ Bravo,13
K Goel,SR Tendulkar,13
DP Nannes,TL Suman,13
TM Dilshan,AC Gilchrist,13
A Kumble,JA Morkel,13
MM Patel,AM Nayar,13
Yuvraj Singh,M Manhas,13
MF Maharoof,SM Katich,13
RP Singh,BJ Hodge,13
AB Agarkar,TL Suman,13
I Sharma,A Symonds,13
YK Pathan,TM Dilshan,13
MF Maharoof,J Botha,13
M Muralitharan,WP Saha,13
AM Salvi,JH Kallis,13
B Lee,PA Patel,13
Harbhajan Singh,A Mishra,13
RJ Harris,RE van der Merwe,13
P Kumar,Y Venugopal Rao,13
Harmeet Singh,TM Dilshan,13
Harmeet Singh,V Sehwag,13
A Kumble,A Symonds,13
A Symonds,RV Uthappa,13
PP Ojha,AD Mathews,13
AD Mascarenhas,ST Jayasuriya,13
YA Abdulla,G Gambhir,13
B Kumar,GJ Maxwell,13
I Sharma,ML Hayden,13
MF Maharoof,SS Tiwary,13
KA Pollard,AB de Villiers,13
SE Bond,YK Pathan,13
M Kartik,YK Pathan,13
SW Tait,BJ Hodge,13
SW Tait,SC Ganguly,13
UT Yadav,A Symonds,13
Z Khan,S Badrinath,13
M Muralitharan,DJ Bravo,13
AA Jhunjhunwala,HH Gibbs,13
S Narwal,A Symonds,13
VS Malik,MK Tiwary,13
IK Pathan,AD Mathews,13
R McLaren,MD Mishra,13
AB McDonald,DJ Hussey,13
YK Pathan,AJ Finch,13
CH Morris,KS Williamson,13
IK Pathan,KA Pollard,13
AB McDonald,NV Ojha,13
Y Venugopal Rao,DJ Hussey,13
R Vinay Kumar,IK Pathan,13
SR Watson,ML Hayden,13
SB Jakati,SR Watson,13
R Sharma,DJ Bravo,13
KP Appanna,DA Warner,13
R Bhatia,KP Pietersen,13
JJ Bumrah,HM Amla,13
AN Ahmed,MS Dhoni,13
AD Mathews,KD Karthik,13
Iqbal Abdulla,KM Jadhav,13
MR Marsh,JH Kallis,13
Z Khan,DPMD Jayawardene,13
Harbhajan Singh,AB Barath,13
Harmeet Singh,S Badrinath,13
AB Dinda,JH Kallis,13
SR Watson,SS Tiwary,13
V Kohli,MD Mishra,13
P Kumar,SP Narine,13
R Ashwin,SC Ganguly,13
CH Gayle,M Vijay,13
AC Voges,KP Pietersen,13
Z Khan,LRPL Taylor,13
M Kartik,AJ Finch,13
FY Fazal,SC Ganguly,13
S Tyagi,DPMD Jayawardene,13
A Nehra,MD Mishra,13
TM Dilshan,A Symonds,13
CRD Fernando,BB McCullum,13
AG Murtaza,BB McCullum,13
JJ Bumrah,K Rabada,13
DW Steyn,J Botha,13
SL Malinga,AJ Finch,13
YK Pathan,B Chipli,13
Bipul Sharma,AM Rahane,13
Mohammed Siraj,RA Tripathi,13
AM Nayar,M Vijay,13
R McLaren,MS Dhoni,13
WD Parnell,PA Patel,13
WD Parnell,RV Gomez,13
DW Steyn,TM Dilshan,13
A Mishra,CA Pujara,13
YK Pathan,AL Menaria,13
ND Doshi,JH Kallis,13
J Botha,JH Kallis,13
S Randiv,AB de Villiers,13
R Ashwin,SS Tiwary,13
R McLaren,DT Christian,13
SS Agarwal,SE Marsh,13
AR Patel,AJ Tye,13
DW Steyn,Y Nagar,13
B Lee,R Vinay Kumar,13
PP Chawla,STR Binny,13
RG Sharma,S Badrinath,13
S Aravind,BJ Haddin,13
TM Dilshan,G Gambhir,13
V Kohli,G Gambhir,13
MK Tiwary,CH Gayle,13
SJ Srivastava,V Sehwag,13
PP Ojha,RG Sharma,13
SL Malinga,DT Christian,13
JE Taylor,M Vijay,13
J Syed Mohammad,JR Hopes,13
TG Southee,MK Pandey,13
S Sreesanth,KC Sangakkara,13
Harbhajan Singh,J Botha,13
JE Taylor,V Kohli,13
J Botha,JD Ryder,13
SK Trivedi,M Manhas,13
JP Duminy,MEK Hussey,13
DT Christian,SK Raina,13
TL Suman,SE Marsh,13
JD Unadkat,RA Jadeja,13
I Sharma,Y Venugopal Rao,13
CR Woakes,AM Rahane,13
AB Agarkar,KA Pollard,13
DS Kulkarni,JR Hopes,13
MR Marsh,Mandeep Singh,13
Yuvraj Singh,DT Christian,13
I Sharma,SC Ganguly,13
DT Christian,Yuvraj Singh,13
SL Malinga,P Kumar,13
VR Aaron,MS Dhoni,13
Bipul Sharma,BB McCullum,13
Bipul Sharma,DPMD Jayawardene,13
BJ Hodge,KD Karthik,13
RA Jadeja,Mandeep Singh,13
Ankit Soni,P Negi,13
Anand Rajan,KA Pollard,13
SJ Srivastava,M Morkel,13
JDP Oram,PA Patel,13
CK Langeveldt,PC Valthaty,13
R Sharma,G Gambhir,13
J Botha,RG Sharma,13
Iqbal Abdulla,JEC Franklin,13
RG Sharma,MA Agarwal,13
J Syed Mohammad,M Vijay,13
M Morkel,LR Shukla,13
UT Yadav,R Bhatia,13
UT Yadav,LR Shukla,13
B Lee,AJ Finch,13
MM Patel,SPD Smith,13
WD Parnell,KD Karthik,13
GJ Maxwell,Yuvraj Singh,13
TP Sudhindra,RA Jadeja,13
TP Sudhindra,S Badrinath,13
SK Trivedi,R Bhatia,13
Bipul Sharma,MN Samuels,13
DJ Bravo,KP Pietersen,13
GB Hogg,AT Rayudu,13
GB Hogg,KA Pollard,13
STR Binny,SPD Smith,13
KP Pietersen,S Dhawan,13
Ankit Sharma,KP Pietersen,13
SP Narine,PP Chawla,13
DL Vettori,AM Rahane,13
GB Hogg,SS Tiwary,13
A Singh,S Aravind,13
Pankaj Singh,KC Sangakkara,13
Pankaj Singh,JP Duminy,13
Anand Rajan,AM Rahane,13
HV Patel,JD Ryder,13
AD Russell,CL White,13
S Dhawan,NV Ojha,13
Z Khan,N Saini,13
R Vinay Kumar,PP Chawla,13
KK Cooper,F du Plessis,13
AC Thomas,DPMD Jayawardene,13
PP Chawla,JEC Franklin,13
V Pratap Singh,G Gambhir,13
RA Jadeja,Azhar Mahmood,13
SP Narine,SS Tiwary,13
DJ Bravo,MK Tiwary,13
R Ashwin,DB Das,13
AUK Pathan,DJ Hussey,13
MJ Clarke,BB McCullum,13
A Mishra,TM Dilshan,13
SR Watson,AD Mathews,13
WD Parnell,SR Watson,13
AA Jhunjhunwala,Mandeep Singh,13
RR Powar,DJ Harris,13
Z Khan,Harbhajan Singh,13
AF Milne,JC Buttler,13
KP Appanna,KA Pollard,13
R Bhatia,M Vijay,13
M Morkel,DJ Hussey,13
JP Faulkner,BA Stokes,13
VR Aaron,SD Chitnis,13
A Mishra,MA Agarwal,13
Mohammed Shami,KS Williamson,13
S Nadeem,MK Tiwary,13
AD Russell,MK Tiwary,13
NLTC Perera,Yuvraj Singh,13
NLTC Perera,B Kumar,13
KK Cooper,DA Warner,13
RA Jadeja,Harbhajan Singh,13
R Sharma,M Vohra,13
R Vinay Kumar,DW Steyn,13
SK Trivedi,EJG Morgan,13
Imran Tahir,SA Yadav,13
RA Jadeja,Gurkeerat Singh,13
Azhar Mahmood,M Vijay,13
Harmeet Singh (2),AJ Finch,13
NLTC Perera,KM Jadhav,13
S Kaul,PA Patel,13
MR Marsh,KA Pollard,13
CH Morris,MA Agarwal,13
MM Sharma,MA Agarwal,13
NLTC Perera,MS Bisla,13
DP Nannes,SPD Smith,13
JH Kallis,DA Miller,13
YS Chahal,SW Billings,13
A Mishra,Gurkeerat Singh,13
R Rampaul,R Dravid,13
P Awana,Yuvraj Singh,13
PP Chawla,M Morkel,13
MM Sharma,Q de Kock,13
DW Steyn,STR Binny,13
DP Nannes,EJG Morgan,13
BA Stokes,Yuvraj Singh,13
MC Henriques,Azhar Mahmood,13
JP Faulkner,MR Marsh,13
CL White,V Kohli,13
CR Woakes,Mandeep Singh,13
SP Narine,TM Head,13
A Mithun,JH Kallis,13
VS Malik,MEK Hussey,13
KA Pollard,S Dhawan,13
SMSM Senanayake,AJ Finch,13
SL Malinga,STR Binny,13
PP Chawla,CA Pujara,13
M Kartik,DA Miller,13
KK Cooper,NLTC Perera,13
NLTC Perera,KK Cooper,13
Sandeep Sharma,Ishan Kishan,13
B Kumar,CM Gautam,13
NLTC Perera,JP Faulkner,13
CJ Anderson,SA Yadav,13
YS Chahal,M Vijay,13
JP Duminy,PA Patel,13
B Kumar,LMP Simmons,13
NM Coulter-Nile,SA Yadav,13
KW Richardson,GJ Maxwell,13
M Vijay,SK Raina,13
Mohammed Shami,M Manhas,13
RA Jadeja,JDS Neesham,13
DJG Sammy,GJ Maxwell,13
Sandeep Sharma,KL Rahul,13
BW Hilfenhaus,SV Samson,13
KV Sharma,KP Pietersen,13
Sandeep Sharma,CA Lynn,13
Mohammed Shami,AT Rayudu,13
WD Parnell,MEK Hussey,13
PV Tambe,Q de Kock,13
Mohammed Shami,KK Nair,13
WD Parnell,KK Nair,13
HV Patel,S Dhawan,13
Shakib Al Hasan,KK Nair,13
LR Shukla,DR Smith,13
KW Richardson,MC Henriques,13
VR Aaron,AR Patel,13
MJ Henry,KA Pollard,13
MJ Henry,HH Pandya,13
R Ashwin,KK Nair,13
R Shukla,JP Faulkner,13
S Rana,SK Raina,13
RN ten Doeschate,NV Ojha,13
Bipul Sharma,JJ Roy,13
BCJ Cutting,DR Smith,13
SN Thakur,RR Pant,13
Mohammed Shami,MK Tiwary,13
R Dhawan,JP Duminy,13
WD Parnell,AR Patel,13
MM Sharma,Shakib Al Hasan,13
K Santokie,GJ Bailey,13
AB Dinda,Shakib Al Hasan,13
MM Sharma,NV Ojha,13
M de Lange,KP Pietersen,13
BE Hendricks,JP Faulkner,13
M Morkel,Y Venugopal Rao,13
AR Patel,MA Agarwal,13
MG Johnson,KP Pietersen,13
CJ Anderson,SV Samson,13
KA Pollard,SV Samson,13
Karanveer Singh,RN ten Doeschate,13
JJ Bumrah,DJ Hussey,13
M Morkel,GJ Bailey,13
NM Coulter-Nile,MS Dhoni,13
R Ashwin,JA Morkel,13
TA Boult,AT Rayudu,13
R Vinay Kumar,C de Grandhomme,13
HH Pandya,MK Pandey,13
TA Boult,MS Dhoni,13
RA Jadeja,RS Bopara,13
SA Abbott,G Gambhir,13
NM Coulter-Nile,DJ Hooda,13
VR Aaron,KL Rahul,13
S Gopal,DJ Hooda,13
TG Southee,KL Rahul,13
GJ Maxwell,AM Rahane,13
JJ Bumrah,Iqbal Abdulla,13
MJ McClenaghan,D Wiese,13
DJ Muthuswami,G Gambhir,13
Anureet Singh,SR Watson,13
Shivam Sharma,AM Rahane,13
GJ Maxwell,DJ Hooda,13
D Wiese,MS Dhoni,13
MM Sharma,D Wiese,13
CJ Anderson,P Negi,13
YS Chahal,SS Iyer,13
Imran Tahir,CH Gayle,13
Sandeep Sharma,A Ashish Reddy,13
SK Raina,MC Henriques,13
B Kumar,DJ Bravo,13
AD Mathews,AT Rayudu,13
HV Patel,AR Patel,13
RS Bopara,KM Jadhav,13
P Sahu,KD Karthik,13
Mustafizur Rahman,SN Khan,13
YS Chahal,A Ashish Reddy,13
PP Chawla,MJ McClenaghan,13
CR Brathwaite,M Vohra,13
